"Session_ID","id","ID_In_Session","Round","SumPayoff","ChoiceSelf","ExperienceSelf","Choice1","Choice2","Choice3","Experience1","Experience2","Experience3","Payoff","group_id","Optimal","PayoffBetter","Hard","Correct","n1","n2","n3","n4","ChoiceSelf_ms","Payoff_ms","ExperienceSelf_ms","Choice1_ms","Choice2_ms","Choice3_ms","Experience1_ms","Experience2_ms","Experience3_ms","Prop_Choice","Dur_Choice","Prop_Exp","Dur_Exp","n1_obs","n2_obs","n3_obs","n4_obs","Choice1_obs","Choice2_obs","Choice3_obs","Experience1_obs","Experience2_obs","Experience3_obs","Phase","TempChange","TimeSinceChange","ExpStable"
"0rcwbtsy","218jeqxc",1,25,1416,2,10,2,3,3,20,5,15,19,2,2,19,1,1,0,1,2,0,534,651,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,10
"0rcwbtsy","218jeqxc",1,26,1416,2,11,3,2,0,16,6,1,16,2,1,17,0,0,0,1,1,0,435,818,0,501,350,400,0,33,0,1,1251,0.333333333333333,33,0,1,1,0,3,2,0,0,6,0,2,1,1,1
"0rcwbtsy","218jeqxc",1,27,1416,1,12,4,2,1,17,2,7,16,2,1,17,0,1,1,1,0,1,384,650,66,484,383,366,517,451,315,1,1233,1,1283,1,1,0,1,4,2,1,17,2,7,2,0,2,2
"0rcwbtsy","218jeqxc",1,28,1416,3,13,4,3,1,3,18,8,12,2,1,17,0,0,1,0,1,1,534,617,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3
"0rcwbtsy","218jeqxc",1,29,1416,4,14,1,2,2,9,4,19,14,2,1,17,0,0,1,2,0,0,401,717,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4
"0rcwbtsy","218jeqxc",1,30,1416,2,15,1,4,1,20,5,10,13,2,1,17,0,0,2,0,0,1,484,633,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5
"0rcwbtsy","218jeqxc",1,31,1416,2,16,3,0,4,6,1,11,13,2,1,17,0,0,0,0,1,1,334,667,64,583,301,568,33,17,0,1,1452,0.666666666666667,50,0,0,1,1,3,0,4,6,1,0,2,0,6,6
"0rcwbtsy","218jeqxc",1,32,1416,1,17,2,2,1,12,2,7,17,2,1,17,0,1,1,2,0,0,467,600,82,501,401,467,0,18,0,1,1369,0.333333333333333,18,1,2,0,0,2,2,1,0,2,0,2,0,7,7
"0rcwbtsy","218jeqxc",1,33,1416,1,18,1,4,1,13,3,8,16,2,1,17,0,1,2,0,0,1,801,635,150,517,367,451,52,81,0,1,1335,0.666666666666667,133,2,0,0,1,1,4,1,13,3,0,2,0,8,8
"0rcwbtsy","218jeqxc",1,34,1416,1,19,1,1,1,4,9,14,20,2,1,17,0,1,3,0,0,0,950,633,270,317,333,335,33,0,51,1,985,0.666666666666667,84,3,0,0,0,1,1,1,4,0,14,2,0,9,9
"0rcwbtsy","218jeqxc",1,35,1416,1,20,1,1,4,5,10,15,15,2,1,17,0,1,2,0,0,1,501,702,134,333,300,367,19,0,16,1,1000,0.666666666666667,35,2,0,0,1,1,1,4,5,0,15,2,0,10,10
"0rcwbtsy","218jeqxc",1,36,1416,4,1,1,1,3,11,16,6,14,1,3,17,0,0,2,0,1,0,683,585,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,1
"0rcwbtsy","218jeqxc",1,37,1416,2,2,3,1,1,7,12,17,14,1,3,17,0,0,2,0,1,0,567,535,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2
"0rcwbtsy","218jeqxc",1,38,1416,4,3,1,4,3,13,18,8,14,1,3,17,0,0,1,0,1,1,1084,635,683,801,667,665,0,0,34,1,2133,0.333333333333333,34,1,0,1,1,1,4,3,0,0,8,2,0,13,3
"0rcwbtsy","218jeqxc",1,39,1416,3,4,3,2,4,9,19,14,14,1,3,17,0,1,0,1,1,1,450,636,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,4
"0rcwbtsy","218jeqxc",1,40,1416,1,5,2,2,3,10,15,20,13,1,3,17,0,0,0,2,1,0,451,583,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,5
"0rcwbtsy","218jeqxc",1,41,1416,3,6,0,3,3,1,16,11,17,1,3,17,0,1,0,0,2,0,484,601,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,6
"0rcwbtsy","218jeqxc",1,42,1416,3,7,3,3,1,17,12,2,16,1,3,17,0,1,1,0,2,0,434,534,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,7
"0rcwbtsy","218jeqxc",1,43,1416,3,8,3,1,3,18,3,13,19,1,3,17,0,1,1,0,2,0,383,518,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,8
"0rcwbtsy","218jeqxc",1,44,1416,3,9,3,3,3,4,19,14,15,1,3,17,0,1,0,0,3,0,332,317,401,0,0,0,16,0,0,0,0,0.333333333333333,16,0,0,0,0,0,0,0,4,0,0,2,0,19,9
"0rcwbtsy","218jeqxc",1,45,1416,3,10,3,3,3,15,20,5,15,1,3,17,0,1,0,0,3,0,498,418,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,10
"0rcwbtsy","218jeqxc",1,46,1416,3,11,3,0,3,6,1,16,14,1,3,17,0,1,0,0,2,0,652,768,132,385,467,602,0,0,49,1,1454,0.333333333333333,49,0,0,2,0,3,0,3,0,0,16,2,0,21,11
"0rcwbtsy","218jeqxc",1,47,1416,2,12,3,2,1,2,17,7,15,1,3,17,0,0,1,1,1,0,684,701,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,12
"0rcwbtsy","218jeqxc",1,48,1416,2,13,2,1,3,8,3,18,12,1,3,17,0,0,1,1,1,0,667,885,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,13
"0rcwbtsy","218jeqxc",1,49,1416,3,14,4,3,4,9,19,4,17,1,3,17,0,1,0,0,1,2,620,566,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,14
"0rcwbtsy","218jeqxc",1,50,1416,4,15,3,3,1,20,10,5,14,1,3,17,0,0,1,0,2,0,418,567,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,15
"0rcwbtsy","218jeqxc",1,51,1416,3,16,0,1,3,1,6,11,10,1,2,13,1,0,1,0,1,0,566,1551,97,33,0,0,150,0,0,0.333333333333333,33,0.333333333333333,150,0,0,0,0,0,0,0,1,0,0,3,1,1,1
"0rcwbtsy","218jeqxc",1,52,1416,2,17,1,3,1,7,12,2,9,1,2,13,1,1,2,0,1,0,417,867,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2
"0rcwbtsy","218jeqxc",1,53,1416,4,18,1,3,1,8,3,13,3,1,2,13,1,0,2,0,1,0,501,600,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
"0rcwbtsy","218jeqxc",1,54,1416,3,19,1,2,4,9,4,14,14,1,2,13,1,0,1,1,0,1,0,601,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4
"0rcwbtsy","218jeqxc",1,55,1416,3,20,4,2,3,5,15,10,3,1,2,13,1,0,0,1,1,1,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5
"0rcwbtsy","218jeqxc",1,56,1416,1,1,3,4,2,11,6,16,8,2,4,13,1,0,0,1,1,1,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1
"0rcwbtsy","218jeqxc",1,57,1416,2,2,2,2,4,7,12,17,10,2,4,13,1,0,0,2,0,1,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,2
"0rcwbtsy","218jeqxc",1,58,1416,2,3,4,4,1,13,8,18,8,2,4,13,1,0,1,0,0,2,566,651,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3
